num_economico,maquina,tipo_unidad,marca,modelo,placas,num_serie,procedencia,estatus,ubicacion,responsable,tramo,segmento,capacidad,metrica,lectura_actual,fecha_alta,tipo_combustible,revisar
CRG-500-007,EQUIPO CRIBADO SCALPER 7500 RM,maquinaria_pesada,RM,RM HS5000M,,HS5000M-01171,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,,horometro,2570.5,2026-03-20,,
CPR-105-006,CRIBA VIBRATORIA RM 10500,maquinaria_pesada,RM,RM MSC10500M-3D,,MSC10500M-3D-01056,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,,horometro,2244.15,2026-03-20,,
CRG-105-008,CRIBA VIBRATORIA RM,maquinaria_pesada,RM,MSC 10500M-3D,,RM MSC10500M-3D-01072,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-04,,horometro,12.0,2026-06-12,,
TMI-120-010,TRITURADORA,maquinaria_pesada,RM,RM 120X,,RM 120X-01.241,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-05,,horometro,22.8,2026-06-13,,
EHO-330-056,EXCAVADORA HIDRAULICA,maquinaria_pesada,CATERPILLAR,330,,KEL30593,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,1.8MÂ³,horometro,7082.0,2025-11-07,,
EHO-215-058,EXCAVADORA HIDRAULICA,maquinaria_pesada,SANY,SY215C,,SY021NCCS7968,PROPIO,ACTIVA,351+340,ANTONIO PONCE,2,S19-03,1.0MÂ³,horometro,4918.77,2026-03-20,,
EHO-215-060,EXCAVADORA HIDRAULICA,maquinaria_pesada,SANY,SY215C,,SY021NCCS7938,PROPIO,ACTIVA,346+300,PAZ HERNANDEZ,1,S19-02,1.0MÂ³,horometro,5926.41,2026-04-11,,
EHO-365-053,EXCAVADORA HIDRAULICA,maquinaria_pesada,SANY,SY365H,,SY036RCC77268,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,2.3MÂ³,horometro,6070.94,2026-03-14,,
EHO-380-074,EXCAVADORA HIDRAULICA,maquinaria_pesada,XCMG,XE3380DX,,XUGA3801JPKA03244,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,2.1MÂ³,horometro,221.2,2026-04-22,,
EHO-336-082,EXCAVADORA HIDRAULICA,maquinaria_pesada,CATERPILLAR,336,,CAT00336CMZR30681,PROPIO,ACTIVA,BANCO EL HUIZACHITO,ANGEL CORONEL,1,S19-03,2.4MÂ³,horometro,6.0,2026-06-12,,
